,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
94,"Sun, Nov 8, 2009",9:00p,Minnesota Timberwolves,93,Portland Trail Blazers,116,Box Score,,"20,306",Rose Garden Arena,
95,"Sun, Nov 8, 2009",9:00p,Golden State Warriors,107,Sacramento Kings,120,Box Score,,"10,760",Power Balance Pavilion,
96,"Sun, Nov 8, 2009",9:30p,New Orleans Hornets,88,Los Angeles Lakers,104,Box Score,,"18,997",STAPLES Center,
97,"Mon, Nov 9, 2009",7:00p,Phoenix Suns,119,Philadelphia 76ers,115,Box Score,,"10,205",Wachovia Center,
98,"Mon, Nov 9, 2009",7:30p,Utah Jazz,95,New York Knicks,93,Box Score,,"19,355",Madison Square Garden (IV),
99,"Mon, Nov 9, 2009",8:30p,Toronto Raptors,124,San Antonio Spurs,131,Box Score,,"17,714",AT&T Center,
100,"Mon, Nov 9, 2009",10:30p,Minnesota Timberwolves,105,Golden State Warriors,146,Box Score,,"15,468",Oracle Arena,
101,"Mon, Nov 9, 2009",10:30p,New Orleans Hornets,112,Los Angeles Clippers,84,Box Score,,"14,760",STAPLES Center,
102,"Tue, Nov 10, 2009",7:00p,Orlando Magic,93,Charlotte Bobcats,81,Box Score,,"13,415",Time Warner Cable Arena,
103,"Tue, Nov 10, 2009",7:30p,Washington Wizards,76,Miami Heat,90,Box Score,,"15,054",AmericanAirlines Arena,
104,"Tue, Nov 10, 2009",8:00p,Denver Nuggets,90,Chicago Bulls,89,Box Score,,"21,409",United Center,
105,"Tue, Nov 10, 2009",8:00p,Portland Trail Blazers,93,Memphis Grizzlies,79,Box Score,,"10,589",FedEx Forum,
106,"Tue, Nov 10, 2009",8:30p,Houston Rockets,103,Dallas Mavericks,121,Box Score,,"19,720",American Airlines Center,
107,"Tue, Nov 10, 2009",10:00p,Oklahoma City Thunder,98,Sacramento Kings,101,Box Score,,"10,523",Power Balance Pavilion,
108,"Wed, Nov 11, 2009",7:00p,Golden State Warriors,94,Indiana Pacers,108,Box Score,,"10,682",Conseco Fieldhouse,
109,"Wed, Nov 11, 2009",7:00p,Chicago Bulls,89,Toronto Raptors,99,Box Score,,"16,310",Air Canada Centre,
110,"Wed, Nov 11, 2009",7:30p,Utah Jazz,86,Boston Celtics,105,Box Score,,"18,624",TD Garden,
111,"Wed, Nov 11, 2009",7:30p,Charlotte Bobcats,75,Detroit Pistons,98,Box Score,,"15,417",The Palace of Auburn Hills,
112,"Wed, Nov 11, 2009",7:30p,Philadelphia 76ers,82,New Jersey Nets,79,Box Score,,"10,714",Izod Center,
113,"Wed, Nov 11, 2009",7:30p,Atlanta Hawks,114,New York Knicks,101,Box Score,,"19,699",Madison Square Garden (IV),
114,"Wed, Nov 11, 2009",8:00p,Denver Nuggets,102,Milwaukee Bucks,108,Box Score,,"12,987",Bradley Center,
115,"Wed, Nov 11, 2009",8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,84,Box Score,,"13,555",Target Center,
116,"Wed, Nov 11, 2009",8:00p,Cleveland Cavaliers,102,Orlando Magic,93,Box Score,,"17,461",Amway Arena,
117,"Wed, Nov 11, 2009",8:30p,Memphis Grizzlies,79,Houston Rockets,104,Box Score,,"17,220",Toyota Center,
118,"Wed, Nov 11, 2009",8:30p,Dallas Mavericks,83,San Antonio Spurs,92,Box Score,,"18,581",AT&T Center,
119,"Wed, Nov 11, 2009",10:30p,Oklahoma City Thunder,83,Los Angeles Clippers,79,Box Score,,"14,248",STAPLES Center,
120,"Wed, Nov 11, 2009",10:30p,New Orleans Hornets,104,Phoenix Suns,124,Box Score,,"16,517",US Airways Center,
121,"Thu, Nov 12, 2009",8:00p,Cleveland Cavaliers,111,Miami Heat,104,Box Score,,"19,600",AmericanAirlines Arena,
122,"Thu, Nov 12, 2009",10:30p,Phoenix Suns,102,Los Angeles Lakers,121,Box Score,,"18,997",STAPLES Center,
123,"Fri, Nov 13, 2009",7:00p,New Jersey Nets,72,Orlando Magic,88,Box Score,,"17,461",Amway Arena,
124,"Fri, Nov 13, 2009",7:00p,Utah Jazz,112,Philadelphia 76ers,90,Box Score,,"10,738",Wachovia Center,
125,"Fri, Nov 13, 2009",7:30p,Golden State Warriors,121,New York Knicks,107,Box Score,,"19,763",Madison Square Garden (IV),
126,"Fri, Nov 13, 2009",8:00p,Atlanta Hawks,97,Boston Celtics,86,Box Score,,"18,624",TD Garden,
