,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
96,"Thu, Jan 5, 2012",10:30p,Los Angeles Lakers,96,Portland Trail Blazers,107,Box Score,,"20,444",Rose Garden Arena,
97,"Fri, Jan 6, 2012",7:00p,Atlanta Hawks,102,Charlotte Bobcats,96,Box Score,OT,"17,827",Time Warner Cable Arena,
98,"Fri, Jan 6, 2012",7:00p,Detroit Pistons,73,Philadelphia 76ers,96,Box Score,,"19,408",Wells Fargo Center,
99,"Fri, Jan 6, 2012",7:00p,New Jersey Nets,97,Toronto Raptors,85,Box Score,,"16,771",Air Canada Centre,
100,"Fri, Jan 6, 2012",7:00p,New York Knicks,99,Washington Wizards,96,Box Score,,"16,998",Verizon Center,
101,"Fri, Jan 6, 2012",7:30p,Indiana Pacers,87,Boston Celtics,74,Box Score,,"18,624",TD Garden,
102,"Fri, Jan 6, 2012",8:00p,Cleveland Cavaliers,98,Minnesota Timberwolves,87,Box Score,,"16,943",Target Center,
103,"Fri, Jan 6, 2012",8:00p,Denver Nuggets,96,New Orleans Hornets,88,Box Score,,"13,035",New Orleans Arena,
104,"Fri, Jan 6, 2012",8:00p,Houston Rockets,94,Oklahoma City Thunder,109,Box Score,,"18,203",Chesapeake Energy Arena,
105,"Fri, Jan 6, 2012",8:00p,Chicago Bulls,97,Orlando Magic,83,Box Score,,"18,912",Amway Center,
106,"Fri, Jan 6, 2012",9:00p,Memphis Grizzlies,85,Utah Jazz,94,Box Score,,"19,503",EnergySolutions Arena,
107,"Fri, Jan 6, 2012",10:30p,Golden State Warriors,90,Los Angeles Lakers,97,Box Score,,"18,997",STAPLES Center,
108,"Fri, Jan 6, 2012",10:30p,Portland Trail Blazers,77,Phoenix Suns,102,Box Score,,"16,235",US Airways Center,
109,"Sat, Jan 7, 2012",7:00p,Chicago Bulls,94,Atlanta Hawks,109,Box Score,,"17,112",Philips Arena,
110,"Sat, Jan 7, 2012",7:00p,Charlotte Bobcats,77,Indiana Pacers,99,Box Score,,"17,226",Bankers Life Fieldhouse,
111,"Sat, Jan 7, 2012",7:30p,New York Knicks,103,Detroit Pistons,80,Box Score,,"12,044",The Palace of Auburn Hills,
112,"Sat, Jan 7, 2012",7:30p,Miami Heat,101,New Jersey Nets,90,Box Score,,"18,711",Prudential Center,
113,"Sat, Jan 7, 2012",8:00p,Oklahoma City Thunder,98,Houston Rockets,95,Box Score,,"14,327",Toyota Center,
114,"Sat, Jan 7, 2012",8:00p,Toronto Raptors,62,Philadelphia 76ers,97,Box Score,,"14,522",Wells Fargo Center,
115,"Sat, Jan 7, 2012",8:30p,Denver Nuggets,117,San Antonio Spurs,121,Box Score,,"17,537",AT&T Center,
116,"Sat, Jan 7, 2012",9:00p,New Orleans Hornets,81,Dallas Mavericks,96,Box Score,,"20,409",American Airlines Center,
117,"Sat, Jan 7, 2012",10:30p,Utah Jazz,88,Golden State Warriors,87,Box Score,,"19,596",Oracle Arena,
118,"Sat, Jan 7, 2012",10:30p,Milwaukee Bucks,86,Los Angeles Clippers,92,Box Score,,"19,229",STAPLES Center,
119,"Sun, Jan 8, 2012",1:00p,Minnesota Timberwolves,93,Washington Wizards,72,Box Score,,"13,095",Verizon Center,
120,"Sun, Jan 8, 2012",6:00p,Orlando Magic,104,Sacramento Kings,97,Box Score,,"14,150",Power Balance Pavilion,
